Observing com.apple.TextEdit (pid 46436) for 20s — drive the app now…

  [   1.029] AXApplicationActivated  role=AXApplication title=TextEdit
  [   1.527] AXMenuItemSelected  role=AXMenuItem title=Select All
  [   1.539] AXFocusedUIElementChanged  role=AXTextArea title=-
  [   1.539] AXSelectedTextChanged  role=AXTextArea title=-
  [   1.540] AXWindowCreated  role=AXWindow title=
  [   1.629] AXSelectedTextChanged  role=AXTextArea title=-
  [   1.634] AXValueChanged  role=AXTextArea title=-
  [   1.634] AXUIElementDestroyed  role=- title=-
  [   1.635] AXFocusedUIElementChanged  role=AXTextArea title=-
  [   1.727] AXMenuItemSelected  role=AXMenuItem title=Bold
  [   1.753] AXFocusedUIElementChanged  role=AXTextArea title=-
  [   1.753] AXValueChanged  role=AXPopUpButton title=-
  [   1.753] AXValueChanged  role=AXPopUpButton title=-
  [   1.753] AXValueChanged  role=AXPopUpButton title=-
  [   1.754] AXValueChanged  role=AXPopUpButton title=-
  [   1.754] AXValueChanged  role=AXComboBox title=-
  [   1.754] AXValueChanged  role=AXComboBox title=-
  [   1.754] AXValueChanged  role=AXPopUpButton title=-
  [   1.754] AXValueChanged  role=AXPopUpButton title=-
  [   1.754] AXValueChanged  role=AXPopUpButton title=-
  [   1.755] AXValueChanged  role=AXComboBox title=-
  [   1.755] AXValueChanged  role=AXComboBox title=-
  [   1.755] AXValueChanged  role=AXMenuButton title=-
  [   1.755] AXValueChanged  role=AXMenuButton title=-
  [   1.755] AXValueChanged  role=AXPopUpButton title=-
  [   1.756] AXValueChanged  role=AXPopUpButton title=-
  [   1.756] AXValueChanged  role=AXPopUpButton title=-
  [   1.756] AXValueChanged  role=AXPopUpButton title=-
  [   1.772] AXValueChanged  role=AXPopUpButton title=-
  [   1.780] AXValueChanged  role=AXPopUpButton title=-
  [   1.780] AXValueChanged  role=AXPopUpButton title=-
  [   1.781] AXValueChanged  role=AXPopUpButton title=-
  [   1.781] AXValueChanged  role=AXComboBox title=-
  [   1.781] AXValueChanged  role=AXComboBox title=-
  [   1.781] AXValueChanged  role=AXPopUpButton title=-
  [   1.781] AXValueChanged  role=AXPopUpButton title=-
  [   1.781] AXValueChanged  role=AXPopUpButton title=-
  [   1.782] AXValueChanged  role=AXPopUpButton title=-
  [   1.782] AXValueChanged  role=AXComboBox title=-
  [   1.782] AXValueChanged  role=AXComboBox title=-
  [   1.782] AXValueChanged  role=AXMenuButton title=-
  [   1.782] AXValueChanged  role=AXMenuButton title=-
  [   1.782] AXValueChanged  role=AXPopUpButton title=-
  [   1.783] AXValueChanged  role=AXPopUpButton title=-
  [   1.783] AXValueChanged  role=AXPopUpButton title=-
  [   1.783] AXValueChanged  role=AXPopUpButton title=-
  [   1.783] AXSelectedTextChanged  role=AXTextArea title=-
  [   1.783] AXValueChanged  role=AXTextArea title=-
  [   1.829] AXFocusedUIElementChanged  role=AXTextArea title=-
  [   1.943] AXSelectedTextChanged  role=AXTextArea title=-
  [   1.947] AXValueChanged  role=AXTextArea title=-
  [   2.504] AXMenuItemSelected  role=AXMenuItem title=Bold
  [   2.521] AXFocusedUIElementChanged  role=AXTextArea title=-
  [   2.522] AXValueChanged  role=AXPopUpButton title=-
  [   2.522] AXValueChanged  role=AXPopUpButton title=-
  [   2.522] AXValueChanged  role=AXPopUpButton title=-
  [   2.522] AXValueChanged  role=AXPopUpButton title=-
  [   2.522] AXValueChanged  role=AXComboBox title=-
  [   2.523] AXValueChanged  role=AXComboBox title=-
  [   2.523] AXValueChanged  role=AXPopUpButton title=-
  [   2.523] AXValueChanged  role=AXPopUpButton title=-
  [   2.523] AXValueChanged  role=AXPopUpButton title=-
  [   2.523] AXValueChanged  role=AXComboBox title=-
  [   2.523] AXValueChanged  role=AXComboBox title=-
  [   2.524] AXValueChanged  role=AXMenuButton title=-
  [   2.524] AXValueChanged  role=AXMenuButton title=-
  [   2.524] AXValueChanged  role=AXPopUpButton title=-
  [   2.524] AXValueChanged  role=AXPopUpButton title=-
  [   2.525] AXValueChanged  role=AXPopUpButton title=-
  [   2.525] AXValueChanged  role=AXPopUpButton title=-
  [   2.606] AXFocusedUIElementChanged  role=AXTextArea title=-
  [   3.178] AXValueChanged  role=AXPopUpButton title=-
  [   3.206] AXValueChanged  role=AXPopUpButton title=-
  [   3.206] AXValueChanged  role=AXPopUpButton title=-
  [   3.206] AXValueChanged  role=AXPopUpButton title=-
  [   3.206] AXValueChanged  role=AXComboBox title=-
  [   3.206] AXValueChanged  role=AXComboBox title=-
  [   3.206] AXValueChanged  role=AXPopUpButton title=-
  [   3.207] AXValueChanged  role=AXPopUpButton title=-
  [   3.207] AXValueChanged  role=AXPopUpButton title=-
  [   3.207] AXValueChanged  role=AXComboBox title=-
  [   3.207] AXValueChanged  role=AXComboBox title=-
  [   3.207] AXValueChanged  role=AXMenuButton title=-
  [   3.207] AXValueChanged  role=AXMenuButton title=-
  [   3.208] AXValueChanged  role=AXPopUpButton title=-
  [   3.208] AXValueChanged  role=AXPopUpButton title=-
  [   3.208] AXValueChanged  role=AXPopUpButton title=-
  [   3.208] AXValueChanged  role=AXPopUpButton title=-
  [   3.208] AXSelectedTextChanged  role=AXTextArea title=-
