run	resolve	press	panel	fill	confirm	file	focus	total
1	0.001	0.001	0.157	0.157	0.157	0.295	0.305	0.305
2	0.001	0.001	0.176	0.177	0.177	0.318	0.330	0.330
3	0.001	0.002	0.184	0.185	0.185	0.334	0.345	0.345
4	0.001	0.002	0.167	0.168	0.168	0.312	0.323	0.323
5	0.001	0.002	0.162	0.162	0.162	0.305	0.310	0.310
6	0.001	0.001	0.147	0.148	0.148	0.285	0.290	0.290
7	0.002	0.002	0.199	0.201	0.201	0.357	0.361	0.361
8	0.001	0.001	0.162	0.162	0.162	0.303	0.314	0.314
9	0.001	0.001	0.165	0.165	0.165	0.310	0.337	0.337
10	0.001	0.001	0.156	0.156	0.156	0.292	0.302	0.302
11	0.001	0.001	0.145	0.145	0.145	0.284	0.294	0.294
12	0.001	0.001	0.165	0.165	0.165	0.304	0.315	0.315
13	0.002	0.002	0.174	0.175	0.175	0.310	0.317	0.317
14	0.002	0.003	0.172	0.177	0.177	0.317	0.328	0.328
15	0.001	0.001	0.193	0.193	0.193	0.338	0.349	0.349
16	0.002	0.002	0.163	0.167	0.167	0.307	0.318	0.318
17	0.002	0.002	0.177	0.178	0.178	0.319	0.328	0.328
18	0.001	0.001	0.217	0.217	0.217	0.360	0.372	0.372
19	0.002	0.002	0.168	0.169	0.169	0.308	0.319	0.319
20	0.002	0.002	0.167	0.168	0.168	0.305	0.314	0.314
21	0.001	0.002	0.169	0.170	0.170	0.308	0.319	0.319
22	0.001	0.001	0.168	0.169	0.169	0.304	0.315	0.315
23	0.001	0.001	0.194	0.194	0.194	0.337	0.346	0.346
24	0.001	0.001	0.165	0.165	0.165	0.299	0.308	0.308
25	0.001	0.001	0.188	0.189	0.189	0.329	0.342	0.342
26	0.001	0.001	0.237	0.237	0.237	0.383	0.394	0.394
27	0.001	0.001	0.165	0.166	0.166	0.307	0.316	0.316
28	0.001	0.001	0.156	0.158	0.158	0.296	0.306	0.306
29	0.002	0.002	0.157	0.157	0.157	0.301	0.311	0.311
30	0.002	0.003	0.181	0.182	0.182	0.321	0.331	0.331
31	0.001	0.001	0.167	0.167	0.167	0.368	0.376	0.376
32	0.001	0.001	0.167	0.167	0.167	0.304	0.314	0.314
33	0.001	0.001	0.176	0.176	0.176	0.314	0.324	0.324
34	0.001	0.001	0.166	0.168	0.168	0.304	0.313	0.313
35	0.001	0.001	0.158	0.158	0.158	0.295	0.305	0.305
36	0.001	0.001	0.202	0.202	0.202	0.344	0.356	0.356
37	0.001	0.001	0.169	0.169	0.169	0.312	0.321	0.321
38	0.001	0.001	0.159	0.162	0.162	0.300	0.312	0.312
39	0.002	0.003	0.183	0.184	0.184	0.331	0.343	0.343
40	0.002	0.003	0.179	0.180	0.180	0.316	0.326	0.326
41	0.001	0.001	0.160	0.160	0.160	0.295	0.305	0.305
42	0.002	0.003	0.174	0.175	0.175	0.321	0.333	0.333
43	0.002	0.003	0.174	0.175	0.175	0.316	0.329	0.329
44	0.002	0.002	0.181	0.181	0.181	0.330	0.341	0.341
45	0.001	0.002	0.166	0.167	0.167	0.306	0.316	0.316
46	0.002	0.002	0.193	0.197	0.197	0.343	0.356	0.356
47	0.002	0.002	0.168	0.168	0.168	0.306	0.316	0.316
48	0.002	0.002	0.181	0.182	0.182	0.327	0.339	0.339
49	0.002	0.002	0.173	0.173	0.173	0.315	0.326	0.326
50	0.001	0.001	0.165	0.165	0.165	0.311	0.326	0.326
